Nazov obce;Nazov okresu;Nazov kraja,
Abelova;Okres Lucenec;Banskobystricky,
Abovce;Okres Rimavska Sobota;Banskobystricky,
Abraham;Okres Galanta;Trnavsky,
Abrahamovce, okres Bardejov;Okres Bardejov;Presovsky
Abrahamovce, okres Kezmarok;Okres Kezmarok;Presovsky
Abramova;Okres Turcianske Teplice;Zilinsky,
Abranovce;Okres Presov;Presovsky,
Adamovske Kochanovce;Okres Trencin;Trenciansky,
Adidovce;Okres Humenne;Presovsky,
Aleksince;Okres Nitra;Nitriansky,
Andovce;Okres Nove Zamky;Nitriansky,
Andrejova;Okres Bardejov;Presovsky,
Ardanovce;Okres Topolcany;Nitriansky,
Ardovo;Okres Roznava;Kosicky,
Arnutovce;Okres Spisska Nova Ves;Kosicky,
Bab;Okres Nitra;Nitriansky,
Babie;Okres Vranov nad Toplou;Presovsky,
Babin;Okres Namestovo;Zilinsky,
Babina;Okres Zvolen;Banskobystricky,
Babindol;Okres Nitra;Nitriansky,
Babinec;Okres Rimavska Sobota;Banskobystricky,
Bacuch;Okres Brezno;Banskobystricky,
Bacurov;Okres Zvolen;Banskobystricky,
Bac;Okres Dunajska Streda;Trnavsky,
Backa;Okres Trebisov;Kosicky,
Backov;Okres Trebisov;Kosicky,
Backovik;Okres Kosice - okolie;Kosicky,
Badan;Okres Banska Stiavnica;Banskobystricky,
Badice;Okres Nitra;Nitriansky,
Badin;Okres Banska Bystrica;Banskobystricky,
Bahon;Okres Pezinok;Bratislavsky,
Bajany;Okres Michalovce;Kosicky,
Bajc;Okres Komarno;Nitriansky,
Bajerov;Okres Presov;Presovsky,
Bajerovce;Okres Sabinov;Presovsky,
Bajka;Okres Levice;Nitriansky,
Bajtava;Okres Nove Zamky;Nitriansky,
Baka;Okres Dunajska Streda;Trnavsky,
Balaze;Okres Banska Bystrica;Banskobystricky,
Baldovce;Okres Levoca;Presovsky,
Balog nad Iplom;Okres Velky Krtis;Banskobystricky,
Balon;Okres Dunajska Streda;Trnavsky,
Bana;Okres Stropkov;Presovsky,
Banka;Okres Piestany;Trnavsky,
Banov;Okres Nove Zamky;Nitriansky,
Banovce nad Bebravou;Okres Banovce nad Bebravou;Trenciansky,
Banovce nad Ondavou;Okres Michalovce;Kosicky,
Banska Bela;Okres Banska Stiavnica;Banskobystricky,
Banska Bystrica;Okres Banska Bystrica;Banskobystricky,
Banska Stiavnica;Okres Banska Stiavnica;Banskobystricky,
Banske;Okres Vranov nad Toplou;Presovsky,
Bansky Studenec;Okres Banska Stiavnica;Banskobystricky,
Bara;Okres Trebisov;Kosicky,
Barca;Okres Rimavska Sobota;Banskobystricky,
Bardejov;Okres Bardejov;Presovsky,
Bardonovo;Okres Nove Zamky;Nitriansky,
Bartosova Lehotka;Okres Ziar nad Hronom;Banskobystricky,
Bartosovce;Okres Bardejov;Presovsky,
Baska;Okres Kosice - okolie;Kosicky,
Baskovce, okres Humenne;Okres Humenne;Presovsky
Baskovce, okres Sobrance;Okres Sobrance;Kosicky
Basovce;Okres Piestany;Trnavsky,
Batizovce;Okres Poprad;Presovsky,
Batka;Okres Rimavska Sobota;Banskobystricky,
Batorova;Okres Velky Krtis;Banskobystricky,
Batorove Kosihy;Okres Komarno;Nitriansky,
Batovce;Okres Levice;Nitriansky,
Beckov;Okres Nove Mesto nad Vahom;Trenciansky,
Beharovce;Okres Levoca;Presovsky,
Becherov;Okres Bardejov;Presovsky,
Bela nad Cirochou;Okres Snina;Presovsky,
Bela, okres Nove Zamky;Okres Nove Zamky;Nitriansky
